AutoRange,Off
Start Time,2024-12-2 17:56:21.439830
Firmware Version,K-01.07.03-01.00-01.10-01.05
ResolutionEnum,FAST
Serial Number,CN63230110
Stop Time,2024-12-2 18:02:25.170329
Model,EDU34450A
Range(ADC),3.0
TriggerSource,Immediate
Address,USB0::0x2A8D::0x8E01::CN63230110::0::INSTR
TriggerDelay,0.0
Sample Count,363

Time Stamp(s),Records,DC Current(ADC),
2024-12-2 18:01:26.765611,305,0.0137464716,
2024-12-2 18:01:27.769063,306,0.0137611673,
2024-12-2 18:01:28.824552,307,0.0137589866,
2024-12-2 18:01:29.892908,308,0.0137482074,
2024-12-2 18:01:30.896773,309,0.0137672859,
2024-12-2 18:01:31.910356,310,0.0137331522,
2024-12-2 18:01:32.905761,311,0.013735857,
2024-12-2 18:01:33.896553,312,0.0137227898,
2024-12-2 18:01:34.806600,313,0.0137422163,
2024-12-2 18:01:35.815514,314,0.0137747172,
2024-12-2 18:01:36.812303,315,0.0170226463,
2024-12-2 18:01:37.825042,316,0.0137330821,
2024-12-2 18:01:38.830660,317,0.013730067,
2024-12-2 18:01:39.828067,318,0.013733422,
2024-12-2 18:01:40.834174,319,0.0170733716,
2024-12-2 18:01:41.829420,320,0.0171271372,
2024-12-2 18:01:42.947160,321,0.0137473159,
2024-12-2 18:01:43.951720,322,0.0137311452,
2024-12-2 18:01:44.946770,323,0.0187078268,
2024-12-2 18:01:45.973663,324,0.0139513068,
2024-12-2 18:01:46.972182,325,0.0137751067,
2024-12-2 18:01:47.875882,326,0.0137144839,
2024-12-2 18:01:48.872603,327,0.0137443547,
2024-12-2 18:01:49.891680,328,0.0137102447,
2024-12-2 18:01:50.886819,329,0.0173045672,
2024-12-2 18:01:51.886711,330,0.0137314967,
2024-12-2 18:01:52.890792,331,0.0137161298,
2024-12-2 18:01:53.886784,332,0.0137159015,
2024-12-2 18:01:54.891233,333,0.0158738294,
2024-12-2 18:01:55.930017,334,0.0184970254,
2024-12-2 18:01:57.005745,335,0.0137691686,
2024-12-2 18:01:58.009670,336,0.0137462686,
2024-12-2 18:01:59.031721,337,0.0248086077,
2024-12-2 18:02:00.027366,338,0.0174923151,
2024-12-2 18:02:01.030184,339,0.0137304334,
2024-12-2 18:02:01.932895,340,0.0137415763,
2024-12-2 18:02:02.928989,341,0.0137298148,
2024-12-2 18:02:03.951591,342,0.013749989,
2024-12-2 18:02:04.948338,343,0.0196118329,
2024-12-2 18:02:05.963907,344,0.0137262874,
2024-12-2 18:02:06.967712,345,0.0137750897,
2024-12-2 18:02:07.988979,346,0.0137372818,
2024-12-2 18:02:08.985353,347,0.0177709812,
2024-12-2 18:02:10.088504,348,0.0137316696,
2024-12-2 18:02:11.084895,349,0.013730165,
2024-12-2 18:02:12.090226,350,0.0137301132,
2024-12-2 18:02:13.089662,351,0.0204995385,
2024-12-2 18:02:14.105456,352,0.0178838298,
2024-12-2 18:02:15.033186,353,0.0137809712,
2024-12-2 18:02:16.025177,354,0.0137380444,
2024-12-2 18:02:17.024643,355,0.0137507353,
2024-12-2 18:02:18.025426,356,0.0137574016,
2024-12-2 18:02:19.024945,357,0.019699916,
2024-12-2 18:02:20.027283,358,0.0179855081,
2024-12-2 18:02:21.046669,359,0.0137479704,
2024-12-2 18:02:22.048885,360,0.013746635,
2024-12-2 18:02:23.045943,361,0.0152525142,
2024-12-2 18:02:24.164235,362,0.015400767,
2024-12-2 18:02:25.170329,363,0.0229415146,
